TargetGA_1,TargetGA_2
-10.4562915925891,-11.8801909314891
0,0
-13.1460521363543,7.55906062358972
0,0
-8.16462108570974,-10.2408708564268
0,0
-2.27660836701392,12.7803201467503
0,0
11.4130737393023,4.27534513126148
0,0
0.481662808957361,-7.16358776388707
0,0
-5.7055100430402,4.24738041537295
0,0
19.0254497792821,-3.21262317764879
0,0
21.5865770073703,1.27147075089605
0,0
6.22515842754407,13.0301235117353
0,0
-17.3760575683506,-2.68009140542647
0,0
5.74487217805442,-2.74726647773796
0,0
-5.68110228685856,-4.03791234644705
0,0
22.6709333881986,4.24961668414452
0,0
-10.2751569223487,0.181383177555404
0,0
9.94548013300608,-5.44540412937219
0,0
1.71487953495916,-10.3823557187673
0,0
-14.6222142219556,11.8713809212287
0,0
9.15151528962107,10.7442825869355
0,0
-20.9215976867231,-4.04775250354599
0,0
-15.021877260406,-7.11144305791179
0,0
-21.1252339390405,-12.9818506268134
0,0
18.1305590348299,10.0381744089518
0,0
16.1173104874567,3.6634935995777
0,0
-17.9897690752729,-4.75942998254632
0,0
-4.35658122232309,3.35927228474646
0,0
-17.8983352052588,-9.74350624979887
0,0
3.50828521509199,5.61299715305779
0,0
20.9150139690053,9.8241174277757
0,0
-11.7044490065599,-4.6631874358165
0,0
22.6158049961536,7.99842081060458
0,0
-7.27862786726392,-9.87641358241723
0,0
-13.9215261022537,-6.76698654283639
0,0
8.02692477118771,2.18127386260502
0,0
21.9264722443389,13.2850317965059
0,0
5.95693775318757,9.40338825933188
0,0
-20.3633701318682,6.09898344696512
0,0
-6.13958459047867,-9.97910341296926
0,0
-15.8450564096219,-2.73869967204401
0,0
-12.872320302176,4.82881985371379
0,0
-20.8470111354284,5.81892471595884
0,0
18.8629973954904,1.75040455045565
0,0
14.0047695588042,-10.7996908205915
0,0
-6.16343633334629,-11.3561878277098
0,0
15.7686522453375,-0.143262142766931
0,0
12.181073861392,-3.44936405845398
0,0
5.91660487932563,-5.91420394796281
0,0
-5.14637806234631,12.6763348929822
0,0
-6.82416620700021,-2.027516071039
0,0
-19.2717450916611,12.0921581292068
0,0
-7.66810530173225,2.09607766240232
0,0
2.37010039066428,0.873340054937954
0,0
-1.92158672959229,12.7094367605577
0,0
7.05128653978325,11.611478616918
0,0
0.658767983884287,-11.3262800654409
0,0
14.9700767569099,-0.924139826632239
0,0
-18.9092548656604,3.60096415180367
0,0
-1.76747984835563,3.67780831341882
0,0
4.36783655226515,9.3530606955327
0,0
-14.8973612106268,9.39957148340128
0,0
5.40839131427449,4.03199892864345
0,0
-20.8583573262924,4.43140911818962
0,0
3.68467405968419,-7.6427516071168
0,0
16.2319307925213,0.358954221489251
0,0
-0.0133518139344926,0.952801751147883
0,0
-2.96832690598885,9.88251533564694
0,0
-16.6173786103108,-10.3453937787226
0,0
-21.858338076419,-4.71446107054191
0,0
12.313002934243,-8.99779814831801
0,0
14.1338023771142,-4.22831028935495
0,0
-9.95743816099616,-12.8779159651382
0,0
-18.119633871403,-12.7717030139359
0,0
-6.06336847919656,6.73200675480563
0,0
15.6259099237487,-3.36814401327661
0,0
16.2064089782051,-6.15455836781578
0,0
7.99879758276284,0.0495280875814046
0,0
21.3706476792608,-9.38473458003111
0,0
20.6478747298461,8.30787850052288
0,0
-18.2299129934881,10.0691689983714
0,0
7.18730248487452,13.2193927374718
0,0
-0.935231028496363,9.31143909471811
0,0
-20.2355269367583,-0.924625881831948
0,0
18.6889418553924,-0.287840750698751
0,0
-0.134960493614491,3.1040737127397
0,0
12.9918032768569,5.11338328867666
0,0
-20.4992471255956,13.1997654673649
0,0
-11.4204657522028,-8.47109227220386
0,0
7.32068909248304,-3.74154920103518
0,0
-17.3062344062517,1.3981340011644
0,0
6.7196013051771,6.89393081113038
0,0
-5.58830870465181,-8.15683484408497
0,0
12.7322214326806,-8.70209696853284
0,0
7.40917161667423,-9.44697009820106
0,0
-5.75496093938635,0.886398022039739
0,0
-9.65166433052566,-12.5374302713206
0,0
-7.74167024098507,-9.15839710588063
0,0
19.6087863532786,11.2610842716115
0,0
-2.12989855532514,7.06693192067182
0,0
-2.79958045228219,-8.5327435133955
0,0
-2.23114724033373,2.54746128438704
0,0
4.20535615765088,-1.27369658324131
0,0
13.3032345204889,-7.66087577784583
0,0
10.9588353589455,8.21448549737628
0,0
7.31673111778175,-6.65302800426182
0,0
7.96900717907508,0.661589878452261
0,0
20.4625608646981,-2.25258179547241
0,0
1.70881232535521,6.45433075874441
0,0
-4.93621118710678,11.0976296013942
0,0
8.24802310044246,5.44790434439576
0,0
-2.8949654967828,-11.1484974345347
0,0
-17.3386484678692,0.797997301330728
0,0
-2.9596353190871,6.21582787004171
0,0
2.32010262160404,-7.08211038506664
0,0
-5.09595384498058,-7.32727295979921
0,0
-4.94434219742561,12.7436493990238
0,0
12.0652915791189,-10.1775103693088
0,0
1.08887962231148,-8.01846575284346
0,0
-0.466135922110482,4.74880225524196
0,0
-19.2792787179894,-4.5662051320965
0,0
-11.962728706535,5.49723150638655
0,0
-2.55347154689769,-11.4822335282676
0,0
6.69149372947312,5.88141139193868
0,0
10.0992211843369,8.8910924862529
0,0
22.7300693414903,-6.60702158680826
0,0
20.18041081748,0.618930710817491
0,0
-19.1249937632716,-4.14636730129538
0,0
21.091237485343,-12.4310383140791
0,0
-16.0007688551473,5.04809324210333
0,0
21.8052062596819,11.3159791269374
0,0
4.71592830489757,-7.83909179999939
0,0
-12.4572442573702,3.63904669028415
0,0
-20.0734508069517,-2.30233230180095
0,0
-9.65059257236226,8.50871519540638
0,0
14.9299779303212,11.3034990529302
0,0
-19.7972329719491,9.29272272746346
0,0
-7.05486328360237,-8.77891985890878
0,0
-17.3769582635439,5.37214337018284
0,0
-16.2083763014646,3.14000646766893
0,0
-20.4229095425603,-4.07377457793371
0,0
9.73981902988653,-8.52743932872538
0,0
-19.3746115362337,-7.16995057615997
0,0
5.67180702753165,3.40196339793746
0,0
-15.505394446775,8.33585751056718
0,0
7.33658785690124,-3.95937059958566
0,0
-0.0635170162446481,13.1984862409057
0,0
-10.384402697273,5.85656801558109
0,0
15.7011676089669,-3.74645847009947
0,0
15.1487924786226,-2.49081479412917
0,0
20.4364500037523,4.71858459570943
0,0
-23.0218360485846,-13.0073535141171
0,0
6.80817841686913,10.0929931959972
0,0
-22.7310847763669,-6.35876509893175
0,0
-18.5054478542921,9.21482139359875
0,0
-18.4890894646125,1.76848039417882
0,0
-6.44769707243326,-8.92076763669237
0,0
-12.4860176024278,3.78661331428165
0,0
-7.45440363374067,11.321221131241
0,0
