Horizontal,Vertical
0,0
1.111328125,-0.232421875
2.7021484375,-0.994140625
4.677734375,-1.8828125
6.79296875,-2.388671875
8.7099609375,-2.2255859375
10.0751953125,-1.4990234375
10.611328125,-0.6982421875
10.2197265625,-0.439453125
9.0166015625,-1.12109375
7.3310546875,-2.6669921875
5.65234375,-4.5390625
4.4931640625,-6.025390625
4.2265625,-6.603515625
4.8916015625,-6.1376953125
6.138671875,-4.8779296875
7.404296875,-3.30859375
8.1708984375,-1.9697265625
8.2080078125,-1.2900390625
7.611328125,-1.4560546875
6.6796875,-2.3681640625
5.732421875,-3.736328125
4.9560546875,-5.23828125
4.3603515625,-6.6455078125
3.82421875,-7.8759765625
3.1865234375,-8.9716796875
2.3388671875,-10.05078125
1.28515625,-11.1962890625
0.16015625,-12.306640625
-0.857421875,-13.0625
-1.6103515625,-13.0849609375
-2.056640625,-12.2314453125
-2.279296875,-10.8310546875
-2.384765625,-9.6220703125
-2.365234375,-9.4560546875
-2.04296875,-10.8701171875
-1.1591796875,-13.775390625
0.408203125,-17.4052734375
2.4873046875,-20.625
4.65234375,-22.4404296875
6.375,-22.4423828125
7.28515625,-20.9599609375
7.3173828125,-18.8369140625
6.7197265625,-16.994140625
5.8876953125,-16.037109375
5.14453125,-16.068359375
4.55078125,-16.7548828125
3.93359375,-17.5361328125
3.046875,-17.8837890625
1.7998046875,-17.5263671875
0.375,-16.490234375
-0.869140625,-15.01171875
-1.59765625,-13.396484375
-1.6796875,-11.9580078125
-1.1904296875,-10.9990234375
-0.296875,-10.7587890625
0.857421875,-11.2978515625
2.189453125,-12.4296875
3.5830078125,-13.7880859375
4.7822265625,-15.0087890625
5.3046875,-15.970703125
4.4423828125,-16.986328125
1.2939453125,-18.8994140625
-5.201171875,-23.0419921875
-16.146484375,-30.96484375
-32.48046875,-44.013671875
-54.6630859375,-62.8623046875
-82.38671875,-87.1953125
-114.431640625,-115.6328125
-148.748046875,-145.9921875
-182.75,-175.8291015625
-213.76953125,-203.041015625
-239.5078125,-226.26171875
-258.4443359375,-244.9169921875
-270.08984375,-259.017578125
-275.08984375,-268.9453125
-275.0595703125,-275.3369140625
-272.18359375,-279.0087890625
-268.62109375,-280.84375
-265.966796875,-281.5869140625
-264.92578125,-281.71875
-265.3125,-281.4716796875
-266.3193359375,-280.939453125
-266.9931640625,-280.177734375
-266.7041015625,-279.2353515625
-265.3623046875,-278.181640625
-263.3681640625,-277.115234375
-261.333984375,-276.2109375
-259.830078125,-275.693359375
-259.208984375,-275.77734375
-259.619140625,-276.5478515625
-260.9755859375,-277.8486328125
-262.9853515625,-279.27734375
-265.146484375,-280.3642578125
-266.8671875,-280.8125
-267.662109375,-280.6650390625
-267.3427734375,-280.2353515625
-266.125,-279.865234375
-264.5625,-279.701171875
-263.3505859375,-279.6435546875
-263.07421875,-279.44140625
-263.95703125,-278.869140625
-265.8232421875,-277.8642578125
-268.1708984375,-276.5888671875
-270.44921875,-275.4033203125
-272.28515625,-274.6962890625
-273.595703125,-274.666015625
-274.4921875,-275.1630859375
-275.0888671875,-275.75
-275.3544921875,-275.9248046875
-275.1416015625,-275.376953125
-274.3251953125,-274.134765625
-272.916015625,-272.5087890625
-271.05078125,-270.93359375
-268.9267578125,-269.73828125
-266.7294921875,-269.005859375
-264.6708984375,-268.5703125
-263.00390625,-268.1640625
-261.966796875,-267.5966796875
-261.6416015625,-266.837890625
-261.8740234375,-265.96875
-262.2939453125,-265.109375
-262.552734375,-264.365234375
-262.544921875,-263.8291015625
-262.474609375,-263.5888671875
-262.66796875,-263.71875
-263.265625,-264.31640625
-264.072265625,-265.4638671875
-264.6533203125,-267.1650390625
