time,signal
0.0,514
0.0008338676630109204,515
0.0016677353260218409,516
0.0025016029890327614,516
0.0033354706520436817,517
0.004169338315054602,516
0.005003205978065523,516
0.005837073641076443,516
0.0066709413040873635,515
0.007504808967098284,515
0.008338676630109204,515
0.009172544293120125,515
0.010006411956131046,515
0.010840279619141966,514
0.011674147282152885,515
0.012508014945163806,515
0.013341882608174727,514
0.014175750271185648,515
0.015009617934196568,515
0.01584348559720749,515
0.016677353260218408,515
0.01751122092322933,515
0.01834508858624025,515
0.01917895624925117,517
0.02001282391226209,517
0.02084669157527301,518
0.021680559238283933,517
0.022514426901294852,516
0.02334829456430577,516
0.024182162227316693,515
0.025016029890327612,515
0.025849897553338535,514
0.026683765216349454,515
0.027517632879360373,516
0.028351500542371295,515
0.029185368205382214,517
0.030019235868393137,516
0.030853103531404056,516
0.03168697119441498,516
0.0325208388574259,517
0.033354706520436816,518
0.034188574183447736,517
0.03502244184645866,517
0.03585630950946958,517
0.0366901771724805,517
0.03752404483549142,516
0.03835791249850234,515
0.039191780161513264,515
0.04002564782452418,515
0.0408595154875351,515
0.04169338315054602,514
0.04252725081355694,514
0.043361118476567866,513
0.044194986139578785,513
0.045028853802589704,513
0.04586272146560062,513
0.04669658912861154,514
0.04753045679162247,514
0.04836432445463339,515
0.049198192117644306,515
0.050032059780655225,515
0.050865927443666144,517
0.05169979510667707,518
0.05253366276968799,518
0.05336753043269891,518
0.05420139809570983,517
0.055035265758720746,518
0.05586913342173167,518
0.05670300108474259,517
0.05753686874775351,515
0.05837073641076443,514
0.05920460407377535,513
0.060038471736786274,513
0.06087233939979719,513
0.06170620706280811,514
0.06254007472581903,514
0.06337394238882996,514
0.06420781005184087,514
0.0650416777148518,514
0.06587554537786272,514
0.06670941304087363,515
0.06754328070388456,515
0.06837714836689547,515
0.0692110160299064,515
0.07004488369291732,515
0.07087875135592824,514
0.07171261901893916,515
0.07254648668195007,516
0.073380354344961,516
0.07421422200797193,515
0.07504808967098284,515
0.07588195733399376,514
0.07671582499700468,514
0.0775496926600156,514
0.07838356032302653,515
0.07921742798603744,514
0.08005129564904837,514
0.08088516331205928,514
0.0817190309750702,514
0.08255289863808113,514
0.08338676630109204,515
0.08422063396410297,515
0.08505450162711388,515
0.0858883692901248,515
0.08672223695313573,515
0.08755610461614664,515
0.08838997227915757,515
0.08922383994216848,514
0.09005770760517941,515
0.09089157526819033,514
0.09172544293120125,513
0.09255931059421217,512
0.09339317825722308,513
0.09422704592023401,514
0.09506091358324494,514
0.09589478124625585,513
0.09672864890926677,514
0.09756251657227769,514
0.09839638423528861,515
0.09923025189829954,515
0.10006411956131045,515
0.10089798722432138,515
0.10173185488733229,515
0.10256572255034321,514
0.10339959021335414,514
0.10423345787636505,513
0.10506732553937598,514
0.10590119320238689,514
0.10673506086539782,513
0.10756892852840874,513
0.10840279619141965,513
0.10923666385443058,513
0.11007053151744149,513
0.11090439918045242,512
0.11173826684346334,511
0.11257213450647426,512
0.11340600216948518,511
0.1142398698324961,512
0.11507373749550702,513
0.11590760515851795,514
0.11674147282152886,514
0.11757534048453978,515
0.1184092081475507,515
0.11924307581056162,515
0.12007694347357255,515
0.12091081113658346,515
0.12174467879959439,514
0.1225785464626053,512
