Matlab Timestamp,Data 1,Data 2
63511.59,464.00,736.00
63511.59,464.00,836.00
63511.59,464.00,832.00
63511.59,466.00,832.00
63511.59,469.00,836.00
63511.59,469.00,832.00
63511.59,469.00,836.00
63511.59,470.00,832.00
63511.59,470.00,832.00
63511.59,470.00,836.00
63511.59,470.00,832.00
63511.59,471.00,832.00
63511.59,472.00,836.00
63511.59,471.00,832.00
63511.61,469.00,832.00
63511.61,466.00,836.00
63511.61,463.00,832.00
63511.61,462.00,832.00
63511.61,462.00,836.00
63511.61,464.00,832.00
63511.61,467.00,832.00
63511.61,470.00,836.00
63511.61,472.00,832.00
63511.61,473.00,832.00
63511.61,472.00,836.00
63511.61,471.00,832.00
63511.61,470.00,832.00
63511.61,468.00,836.00
63511.61,470.00,832.00
63511.61,471.00,832.00
63511.62,470.00,836.00
63511.62,469.00,832.00
63511.62,471.00,832.00
63511.62,473.00,836.00
63511.62,474.00,832.00
63511.62,476.00,832.00
63511.62,479.00,836.00
63511.62,480.00,832.00
63511.62,477.00,836.00
63511.62,474.00,832.00
63511.62,473.00,832.00
63511.62,471.00,836.00
63511.62,470.00,832.00
63511.62,470.00,832.00
63511.62,474.00,836.00
63511.62,478.00,832.00
63511.63,481.00,832.00
63511.63,483.00,836.00
63511.63,485.00,832.00
63511.63,485.00,832.00
63511.63,482.00,836.00
63511.63,479.00,832.00
63511.63,478.00,832.00
63511.63,478.00,836.00
63511.63,478.00,832.00
63511.63,476.00,832.00
63511.63,476.00,836.00
63511.63,475.00,832.00
63511.63,478.00,832.00
63511.63,478.00,836.00
63511.63,482.00,832.00
63511.63,485.00,832.00
63511.64,486.00,836.00
63511.64,484.00,832.00
63511.64,481.00,832.00
63511.64,479.00,836.00
63511.64,476.00,832.00
63511.64,474.00,832.00
63511.64,476.00,836.00
63511.64,479.00,832.00
63511.64,482.00,836.00
63511.64,484.00,832.00
63511.64,484.00,832.00
63511.64,484.00,836.00
63511.64,483.00,832.00
63511.64,480.00,832.00
63511.64,477.00,836.00
63511.64,475.00,832.00
63511.65,474.00,832.00
63511.65,472.00,836.00
63511.65,471.00,832.00
63511.65,472.00,832.00
63511.65,473.00,836.00
63511.65,476.00,832.00
63511.65,478.00,832.00
63511.65,480.00,836.00
63511.65,484.00,832.00
63511.65,486.00,832.00
63511.65,487.00,836.00
63511.65,485.00,832.00
63511.65,483.00,832.00
63511.65,480.00,836.00
63511.65,478.00,832.00
63511.65,477.00,832.00
63511.66,478.00,836.00
63511.66,480.00,832.00
63511.66,480.00,832.00
63511.66,480.00,836.00
63511.66,480.00,832.00
63511.66,483.00,832.00
63511.66,483.00,836.00
63511.66,486.00,832.00
63511.66,488.00,836.00
63511.66,489.00,832.00
63511.66,488.00,832.00
63511.66,485.00,836.00
63511.66,482.00,832.00
63511.66,480.00,832.00
63511.66,478.00,836.00
63511.66,477.00,832.00
63511.68,477.00,832.00
63511.68,479.00,836.00
63511.68,479.00,832.00
63511.68,479.00,832.00
63511.68,479.00,836.00
63511.68,480.00,832.00
63511.68,481.00,832.00
63511.68,479.00,836.00
63511.68,480.00,832.00
63511.68,480.00,832.00
63511.68,478.00,836.00
63511.68,476.00,832.00
63511.68,476.00,832.00
63511.68,478.00,836.00
63511.68,480.00,832.00
63511.68,479.00,832.00
63511.69,478.00,836.00
63511.69,480.00,832.00
63511.69,482.00,832.00
63511.69,483.00,836.00
63511.69,481.00,832.00
63511.69,479.00,832.00
63511.69,480.00,836.00
63511.69,479.00,832.00
63511.69,479.00,836.00
63511.69,480.00,832.00
63511.69,481.00,832.00
63511.69,480.00,836.00
63511.69,480.00,832.00
63511.69,478.00,832.00
63511.69,480.00,836.00
63511.69,478.00,832.00
63511.71,479.00,832.00
63511.71,482.00,836.00
63511.71,485.00,832.00
63511.71,485.00,832.00
63511.71,485.00,836.00
63511.71,484.00,832.00
63511.71,483.00,832.00
63511.71,483.00,836.00
63511.71,482.00,832.00
63511.71,485.00,832.00
