timestamp,data1,data2
66599.487881,506,736
66599.487881,506,836
66599.487881,505,832
66599.487881,506,832
66599.487881,506,836
66599.487881,507,832
66599.487881,506,836
66599.487881,507,832
66599.487881,507,832
66599.487881,507,836
66599.487881,508,832
66599.487881,507,832
66599.487881,507,836
66599.487881,506,832
66599.500568,505,832
66599.500568,504,836
66599.500568,503,832
66599.500568,504,832
66599.500568,504,836
66599.500568,504,832
66599.500568,504,832
66599.500568,504,836
66599.500568,504,832
66599.500568,504,832
66599.500568,504,836
66599.500568,505,832
66599.500568,505,832
66599.500568,505,836
66599.500568,504,832
66599.500568,504,832
66599.511738,503,836
66599.511738,504,832
66599.511738,505,832
66599.511738,505,836
66599.511738,506,832
66599.511738,506,832
66599.511738,506,836
66599.511738,506,832
66599.511738,506,832
66599.511738,506,836
66599.511738,506,832
66599.511738,506,836
66599.511738,506,832
66599.511738,507,832
66599.511738,506,836
66599.511738,506,832
66599.528283,506,832
66599.528283,508,836
66599.528283,508,832
66599.528283,508,832
66599.528283,508,836
66599.528283,508,832
66599.528283,507,832
66599.528283,507,836
66599.528283,507,832
66599.528283,508,832
66599.528283,508,836
66599.528283,509,832
66599.528283,509,832
66599.528283,509,836
66599.528283,509,832
66599.528283,510,832
66599.540966,510,836
66599.540966,510,832
66599.540966,510,832
66599.540966,510,836
66599.540966,510,832
66599.540966,511,832
66599.540966,511,836
66599.540966,511,832
66599.540966,511,836
66599.540966,511,832
66599.540966,511,832
66599.540966,511,836
66599.540966,511,832
66599.540966,511,832
66599.540966,512,836
66599.540966,512,832
66599.552449,512,832
66599.552449,512,836
66599.552449,512,832
66599.552449,513,832
66599.552449,512,836
66599.552449,512,832
66599.552449,512,832
66599.552449,511,836
66599.552449,511,832
66599.552449,511,832
66599.552449,511,836
66599.552449,510,832
66599.552449,510,832
66599.552449,509,836
66599.552449,509,832
66599.552449,508,832
66599.565,508,836
66599.565,508,832
66599.565,508,832
66599.565,508,836
66599.565,509,832
66599.565,509,832
66599.565,510,836
66599.565,510,832
66599.565,510,832
66599.565,510,836
66599.565,510,832
66599.565,510,836
66599.565,510,832
66599.565,510,832
66599.565,510,836
66599.565,510,832
66599.581786,511,832
66599.581786,511,836
66599.581786,511,832
66599.581786,511,832
66599.581786,511,836
66599.581786,511,832
66599.581786,513,832
66599.581786,513,836
66599.581786,512,832
66599.581786,512,832
66599.581786,511,836
66599.581786,511,832
66599.581786,511,832
66599.581786,511,836
66599.581786,512,832
66599.581786,512,832
66599.59334200001,513,836
66599.59334200001,514,832
66599.59334200001,514,832
66599.59334200001,514,836
66599.59334200001,514,832
66599.59334200001,513,832
66599.59334200001,513,836
66599.59334200001,513,832
66599.59334200001,513,832
66599.59334200001,513,836
66599.59334200001,512,832
66599.59334200001,512,836
66599.59334200001,511,832
66599.59334200001,511,832
66599.59334200001,511,836
66599.59334200001,510,832
66599.605958,509,832
66599.605958,509,836
66599.605958,508,832
66599.605958,509,832
66599.605958,509,836
66599.605958,509,832
66599.605958,509,832
66599.605958,509,836
66599.605958,510,832
66599.605958,510,832
66599.605958,510,836
66599.605958,510,832
66599.605958,509,832
66599.605958,509,836
66599.605958,509,832
66599.605958,508,832
