timestamp,data1,data2
66579.538192,521,736
66579.538192,524,836
66579.538192,526,832
66579.538192,528,832
66579.538192,529,836
66579.538192,528,832
66579.538192,526,836
66579.538192,526,832
66579.538192,526,832
66579.538192,529,836
66579.538192,532,832
66579.538192,538,832
66579.538192,541,836
66579.538192,544,832
66579.566752,546,832
66579.566752,547,836
66579.566752,545,832
66579.566752,541,832
66579.566752,538,836
66579.566752,535,832
66579.566752,532,832
66579.566752,531,836
66579.566752,531,832
66579.566752,533,832
66579.566752,535,836
66579.566752,534,832
66579.566752,531,832
66579.566752,528,836
66579.566752,527,832
66579.566752,527,832
66579.56752,526,836
66579.56752,528,832
66579.56752,530,832
66579.56752,532,836
66579.56752,535,832
66579.56752,537,832
66579.56752,537,836
66579.56752,535,832
66579.56752,534,836
66579.56752,533,832
66579.56752,533,832
66579.56752,533,836
66579.56752,533,832
66579.56752,534,832
66579.56752,534,836
66579.56752,532,832
66579.578591,530,832
66579.578591,530,836
66579.578591,530,832
66579.578591,532,832
66579.578591,533,836
66579.578591,534,832
66579.578591,535,832
66579.578591,536,836
66579.578591,537,832
66579.578591,538,832
66579.578591,538,836
66579.578591,536,832
66579.578591,533,832
66579.578591,531,836
66579.578591,531,832
66579.578591,531,832
66579.58998399999,532,836
66579.58998399999,532,832
66579.58998399999,531,832
66579.58998399999,529,836
66579.58998399999,526,832
66579.58998399999,521,832
66579.58998399999,520,836
66579.58998399999,522,832
66579.58998399999,524,832
66579.58998399999,526,836
66579.58998399999,528,832
66579.58998399999,531,836
66579.58998399999,533,832
66579.58998399999,534,832
66579.58998399999,535,836
66579.58998399999,538,832
66579.602559,541,832
66579.602559,544,836
66579.602559,546,832
66579.602559,545,832
66579.602559,544,836
66579.602559,542,832
66579.602559,540,832
66579.602559,536,836
66579.602559,533,832
66579.602559,530,832
66579.602559,527,836
66579.602559,523,832
66579.602559,523,832
66579.602559,525,836
66579.602559,530,832
66579.602559,535,832
66579.615018,539,836
66579.615018,540,832
66579.615018,538,832
66579.615018,535,836
66579.615018,533,832
66579.615018,533,832
66579.615018,535,836
66579.615018,539,832
66579.615018,544,832
66579.615018,545,836
66579.615018,544,832
66579.615018,542,836
66579.615018,539,832
66579.615018,536,832
66579.615018,533,836
66579.615018,531,832
66579.631531,530,832
66579.631531,529,836
66579.631531,529,832
66579.631531,529,832
66579.631531,530,836
66579.631531,532,832
66579.631531,534,832
66579.631531,536,836
66579.631531,539,832
66579.631531,542,832
66579.631531,544,836
66579.631531,546,832
66579.631531,547,832
66579.631531,546,836
66579.631531,544,832
66579.631531,541,832
66579.642957,538,836
66579.642957,537,832
66579.642957,536,832
66579.642957,537,836
66579.642957,536,832
66579.642957,535,832
66579.642957,533,836
66579.642957,530,832
66579.642957,529,832
66579.642957,529,836
66579.642957,532,832
66579.642957,533,836
66579.642957,534,832
66579.642957,535,832
66579.642957,538,836
66579.642957,540,832
66579.655968,543,832
66579.655968,547,836
66579.655968,550,832
66579.655968,549,832
66579.655968,546,836
66579.655968,541,832
66579.655968,537,832
66579.655968,532,836
66579.655968,527,832
66579.655968,524,832
66579.655968,522,836
66579.655968,521,832
66579.655968,522,832
66579.655968,522,836
66579.655968,525,832
66579.655968,528,832
66579.672362,530,836
66579.672362,532,832
66579.672362,534,832
66579.672362,536,836
66579.672362,537,832
66579.672362,539,832
66579.672362,541,836
66579.672362,543,832
66579.672362,547,832
66579.672362,550,836
66579.672362,550,832
66579.672362,549,836
66579.672362,547,832
66579.672362,545,832
66579.672362,541,836
66579.672362,536,832
66579.684809,531,832
66579.684809,527,836
66579.684809,523,832
66579.684809,521,832
66579.684809,520,836
66579.684809,521,832
66579.684809,523,832
66579.684809,526,836
66579.684809,528,832
66579.684809,530,832
66579.684809,530,836
66579.684809,529,832
66579.684809,528,832
66579.684809,526,836
66579.684809,524,832
66579.684809,524,832
66579.697295,524,836
66579.697295,524,832
66579.697295,524,832
66579.697295,525,836
66579.697295,526,832
66579.697295,526,832
66579.697295,527,836
66579.697295,527,832
66579.697295,525,836
66579.697295,525,832
66579.697295,525,832
66579.697295,526,836
66579.697295,526,832
66579.697295,527,832
66579.697295,529,836
66579.697295,531,832
66579.708713,533,832
66579.708713,535,836
66579.708713,535,832
66579.708713,533,832
66579.708713,531,836
66579.708713,528,832
66579.708713,526,832
66579.708713,527,836
66579.708713,529,832
66579.708713,530,832
66579.708713,530,836
66579.708713,527,832
66579.708713,523,832
66579.708713,519,836
66579.708713,517,832
66579.708713,517,832
66579.725106,517,836
66579.725106,519,832
66579.725106,522,832
66579.725106,527,836
66579.725106,529,832
66579.725106,532,832
66579.725106,534,836
66579.725106,535,832
66579.725106,536,832
66579.725106,536,836
66579.725106,535,832
66579.725106,534,836
66579.725106,533,832
66579.725106,532,832
66579.725106,528,836
66579.725106,524,832
66579.737756,520,832
66579.737756,516,836
66579.737756,513,832
66579.737756,511,832
66579.737756,509,836
66579.737756,508,832
66579.737756,508,832
66579.737756,510,836
66579.737756,511,832
66579.737756,512,832
66579.737756,515,836
66579.737756,518,832
66579.737756,520,832
66579.737756,521,836
66579.737756,523,832
66579.737756,525,832
66579.750256,526,836
66579.750256,527,832
66579.750256,527,832
66579.750256,526,836
66579.750256,524,832
66579.750256,522,832
66579.750256,521,836
66579.750256,522,832
66579.750256,522,832
66579.750256,521,836
66579.750256,520,832
66579.750256,518,836
66579.750256,516,832
66579.750256,515,832
66579.750256,515,836
66579.750256,515,832
66579.766565,516,832
66579.766565,516,836
66579.766565,517,832
66579.766565,519,832
66579.766565,520,836
66579.766565,521,832
66579.766565,522,832
66579.766565,521,836
66579.766565,521,832
66579.766565,521,832
66579.766565,520,836
66579.766565,519,832
66579.766565,518,832
66579.766565,518,836
66579.766565,519,832
66579.766565,520,832
66579.779251,521,836
66579.779251,521,832
66579.779251,521,832
66579.779251,522,836
66579.779251,523,832
66579.779251,523,832
66579.779251,522,836
66579.779251,521,832
66579.779251,520,836
66579.779251,519,832
66579.779251,519,832
66579.779251,520,836
66579.779251,520,832
66579.779251,521,832
66579.779251,522,836
66579.779251,525,832
66579.790809,526,832
66579.790809,527,836
66579.790809,526,832
66579.790809,525,832
66579.790809,523,836
66579.790809,520,832
66579.790809,519,832
66579.790809,518,836
66579.790809,518,832
66579.790809,519,832
66579.790809,518,836
66579.790809,517,832
66579.790809,516,832
66579.790809,516,836
66579.790809,516,832
66579.790809,515,832
66579.80352,514,836
66579.80352,511,832
66579.80352,506,832
66579.80352,501,836
66579.80352,495,832
66579.80352,491,832
66579.80352,488,836
66579.80352,485,832
66579.80352,483,836
66579.80352,481,832
66579.80352,480,832
66579.80352,478,836
66579.80352,477,832
66579.80352,476,832
66579.80352,476,836
66579.80352,479,832
66579.820151,482,832
66579.820151,485,836
66579.820151,489,832
66579.820151,492,832
66579.820151,494,836
66579.820151,495,832
66579.820151,494,832
66579.820151,492,836
66579.820151,491,832
66579.820151,488,832
66579.820151,486,836
66579.820151,484,832
66579.820151,483,832
66579.820151,482,836
66579.820151,481,832
66579.820151,480,832
66579.831433,480,836
66579.831433,480,832
66579.831433,481,832
66579.831433,481,836
66579.831433,481,832
66579.831433,482,832
66579.831433,481,836
66579.831433,481,832
66579.831433,480,836
66579.831433,480,832
66579.831433,481,832
66579.831433,481,836
66579.831433,481,832
66579.831433,482,832
66579.831433,482,836
66579.831433,482,832
66579.843948,483,832
66579.843948,484,836
66579.843948,485,832
66579.843948,485,832
66579.843948,484,836
66579.843948,483,832
66579.843948,483,832
66579.843948,483,836
66579.843948,485,832
