timestamp,data1,data2
66486.714635,519,736
66486.714635,520,836
66486.714635,520,832
66486.714635,520,832
66486.714635,520,836
66486.714635,519,832
66486.714635,519,832
66486.714635,519,836
66486.714635,519,832
66486.714635,520,836
66486.714635,520,832
66486.714635,521,832
66486.714635,521,836
66486.714635,522,832
66486.75923,523,832
66486.75923,522,836
66486.75923,523,832
66486.75923,523,832
66486.75923,524,836
66486.75923,524,832
66486.75923,524,832
66486.75923,525,836
66486.75923,525,832
66486.75923,525,832
66486.75923,526,836
66486.75923,527,832
66486.75923,527,832
66486.75923,526,836
66486.75923,526,832
66486.75923,526,832
66486.761275,525,836
66486.761275,525,832
66486.761275,525,832
66486.761275,525,836
66486.761275,525,832
66486.761275,524,832
66486.761275,524,836
66486.761275,524,832
66486.761275,524,832
66486.761275,524,836
66486.761275,524,832
66486.761275,523,836
66486.761275,523,832
66486.761275,522,832
66486.761275,522,836
66486.761275,522,832
66486.762434,522,832
66486.762434,522,836
66486.762434,522,832
66486.762434,522,832
66486.762434,522,836
66486.762434,521,832
66486.762434,521,832
66486.762434,520,836
66486.762434,520,832
66486.762434,520,832
66486.762434,520,836
66486.762434,519,832
66486.762434,519,832
66486.762434,519,836
66486.762434,520,832
66486.762434,520,832
66486.764784,520,836
66486.764784,520,832
66486.764784,520,832
66486.764784,520,836
66486.764784,520,832
66486.764784,520,832
66486.764784,521,836
66486.764784,521,832
66486.764784,521,836
66486.764784,521,832
66486.764784,520,832
66486.764784,520,836
66486.764784,521,832
66486.764784,521,832
66486.764784,521,836
66486.764784,521,832
66486.776424,521,832
66486.776424,521,836
66486.776424,521,832
66486.776424,521,832
66486.776424,521,836
66486.776424,521,832
66486.776424,521,832
66486.776424,521,836
66486.776424,521,832
66486.776424,521,832
66486.776424,521,836
66486.776424,521,832
66486.776424,521,832
66486.776424,521,836
66486.776424,521,832
66486.776424,522,832
66486.789349,522,836
66486.789349,523,832
66486.789349,524,832
66486.789349,524,836
66486.789349,524,832
66486.789349,525,832
66486.789349,524,836
66486.789349,524,832
66486.789349,524,836
66486.789349,524,832
66486.789349,524,832
66486.789349,523,836
66486.789349,522,832
66486.789349,522,832
66486.789349,522,836
66486.789349,521,832
66486.805777,521,832
66486.805777,520,836
66486.805777,519,832
66486.805777,519,832
66486.805777,518,836
66486.805777,518,832
66486.805777,518,832
66486.805777,518,836
66486.805777,519,832
66486.805777,519,832
66486.805777,519,836
66486.805777,520,832
66486.805777,520,832
66486.805777,520,836
66486.805777,520,832
66486.805777,519,832
66486.817091,519,836
66486.817091,519,832
66486.817091,519,832
66486.817091,520,836
66486.817091,520,832
66486.817091,520,832
66486.817091,519,836
66486.817091,519,832
66486.817091,519,832
66486.817091,519,836
66486.817091,519,832
66486.817091,518,836
66486.817091,518,832
66486.817091,518,832
66486.817091,518,836
66486.817091,518,832
66486.829839,518,832
66486.829839,519,836
66486.829839,519,832
66486.829839,519,832
66486.829839,519,836
66486.829839,518,832
66486.829839,518,832
66486.829839,517,836
66486.829839,517,832
66486.829839,517,832
66486.829839,517,836
66486.829839,516,832
66486.829839,516,832
66486.829839,516,836
66486.829839,516,832
66486.829839,516,832
66486.846369,517,836
66486.846369,517,832
66486.846369,516,832
66486.846369,516,836
66486.846369,516,832
66486.846369,516,832
66486.846369,516,836
66486.846369,515,832
66486.846369,515,836
66486.846369,515,832
66486.846369,515,832
66486.846369,516,836
66486.846369,516,832
66486.846369,517,832
66486.846369,518,836
66486.846369,518,832
66486.859067,518,832
66486.859067,519,836
66486.859067,519,832
66486.859067,519,832
66486.859067,519,836
66486.859067,519,832
66486.859067,519,832
66486.859067,519,836
66486.859067,518,832
66486.859067,518,832
66486.859067,518,836
66486.859067,518,832
66486.859067,518,832
66486.859067,518,836
66486.859067,518,832
66486.859067,518,832
66486.870602,518,836
66486.870602,519,832
66486.870602,519,832
66486.870602,519,836
66486.870602,519,832
66486.870602,518,832
66486.870602,518,836
66486.870602,517,832
66486.870602,518,836
66486.870602,517,832
66486.870602,518,832
66486.870602,518,836
66486.870602,519,832
66486.870602,519,832
66486.870602,519,836
66486.870602,520,832
66486.883356,520,832
66486.883356,520,836
66486.883356,520,832
66486.883356,519,832
66486.883356,519,836
66486.883356,519,832
66486.883356,519,832
66486.883356,519,836
66486.883356,520,832
66486.883356,520,832
66486.883356,520,836
