Matlab Timestamp,Data 1,Data 2
63540.99,534,736
63540.99,533,836
63540.99,532,832
63540.99,531,832
63540.99,528,836
63540.99,526,832
63540.99,524,832
63540.99,524,836
63540.99,524,832
63540.99,524,836
63540.99,527,832
63540.99,528,832
63540.99,528,836
63540.99,531,832
63541.02,531,832
63541.02,532,836
63541.02,531,832
63541.02,529,832
63541.02,526,836
63541.02,521,832
63541.02,519,832
63541.02,515,836
63541.02,513,832
63541.02,512,832
63541.02,511,836
63541.02,514,832
63541.02,518,832
63541.02,521,836
63541.02,523,832
63541.02,523,832
63541.02,523,836
63541.02,521,832
63541.02,520,832
63541.02,516,836
63541.02,514,832
63541.02,511,832
63541.02,508,836
63541.02,507,832
63541.02,505,836
63541.02,506,832
63541.02,509,832
63541.02,513,836
63541.02,516,832
63541.02,520,832
63541.02,523,836
63541.02,524,832
63541.04,525,832
63541.04,525,836
63541.04,526,832
63541.04,524,832
63541.04,522,836
63541.04,521,832
63541.04,519,832
63541.04,520,836
63541.04,519,832
63541.04,521,832
63541.04,520,836
63541.04,521,832
63541.04,522,832
63541.04,524,836
63541.04,525,832
63541.04,525,832
63541.05,525,836
63541.05,523,832
63541.05,524,832
63541.05,523,836
63541.05,522,832
63541.05,520,832
63541.05,519,836
63541.05,517,832
63541.05,516,832
63541.05,515,836
63541.05,515,832
63541.05,517,836
63541.05,518,832
63541.05,520,832
63541.05,521,836
63541.05,521,832
63541.06,520,832
63541.06,517,836
63541.06,517,832
63541.06,516,832
63541.06,516,836
63541.06,515,832
63541.06,516,832
63541.06,517,836
63541.06,517,832
63541.06,520,832
63541.06,519,836
63541.06,521,832
63541.06,522,832
63541.06,522,836
63541.06,525,832
63541.06,526,832
63541.08,525,836
63541.08,523,832
63541.08,522,832
63541.08,520,836
63541.08,519,832
63541.08,517,832
63541.08,515,836
63541.08,517,832
63541.08,517,836
63541.08,518,832
63541.08,519,832
63541.08,519,836
63541.08,521,832
63541.08,521,832
63541.08,524,836
63541.08,526,832
63541.09,527,832
63541.09,526,836
63541.09,525,832
63541.09,522,832
63541.09,521,836
63541.09,521,832
63541.09,518,832
63541.09,517,836
63541.09,519,832
63541.09,520,832
63541.09,521,836
63541.09,521,832
63541.09,521,832
63541.09,522,836
63541.09,520,832
63541.09,521,832
63541.10,520,836
63541.10,517,832
63541.10,520,832
63541.10,519,836
63541.10,519,832
63541.10,520,832
63541.10,518,836
63541.10,519,832
63541.10,519,836
63541.10,519,832
63541.10,520,832
63541.10,521,836
63541.10,524,832
63541.10,524,832
63541.10,525,836
63541.10,525,832
63541.11,524,832
63541.11,527,836
63541.11,529,832
63541.11,530,832
63541.11,531,836
63541.11,530,832
63541.11,531,832
63541.11,531,836
63541.11,530,832
63541.11,531,832
63541.11,530,836
63541.11,530,832
63541.11,530,832
63541.11,527,836
63541.11,528,832
63541.11,525,832
63541.13,526,836
63541.13,528,832
63541.13,527,832
63541.13,529,836
63541.13,527,832
63541.13,527,832
63541.13,529,836
63541.13,527,832
63541.13,526,832
63541.13,522,836
63541.13,520,832
63541.13,521,836
63541.13,519,832
63541.13,520,832
63541.13,521,836
63541.13,522,832
63541.14,525,832
63541.14,526,836
63541.14,526,832
63541.14,526,832
63541.14,526,836
63541.14,527,832
63541.14,527,832
63541.14,528,836
63541.14,528,832
63541.14,530,832
63541.14,533,836
63541.14,534,832
63541.14,537,832
63541.14,537,836
63541.14,539,832
63541.14,542,832
63541.15,541,836
63541.15,542,832
63541.15,541,832
63541.15,541,836
63541.15,539,832
63541.15,535,832
63541.15,532,836
63541.15,528,832
63541.15,526,836
63541.15,525,832
63541.15,523,832
63541.15,525,836
63541.15,525,832
63541.15,528,832
63541.15,531,836
63541.15,534,832
63541.17,537,832
63541.17,539,836
63541.17,541,832
63541.17,539,832
63541.17,537,836
63541.17,534,832
63541.17,530,832
63541.17,529,836
63541.17,527,832
63541.17,529,832
63541.17,529,836
63541.17,529,832
63541.17,530,832
63541.17,531,836
63541.17,532,832
63541.17,532,832
63541.18,534,836
63541.18,535,832
63541.18,536,832
63541.18,535,836
63541.18,536,832
63541.18,535,832
63541.18,535,836
63541.18,537,832
63541.18,535,832
63541.18,536,836
63541.18,536,832
63541.18,536,836
63541.18,533,832
63541.18,532,832
63541.18,531,836
63541.18,529,832
63541.19,529,832
63541.19,529,836
63541.19,532,832
63541.19,534,832
63541.19,534,836
63541.19,536,832
63541.19,538,832
63541.19,537,836
63541.19,538,832
63541.19,539,832
63541.19,538,836
63541.19,538,832
63541.19,535,832
63541.19,531,836
63541.19,527,832
63541.19,525,832
63541.21,525,836
63541.21,524,832
63541.21,524,832
63541.21,525,836
63541.21,526,832
63541.21,526,832
63541.21,527,836
63541.21,529,832
63541.21,531,832
63541.21,533,836
63541.21,533,832
63541.21,535,836
63541.21,534,832
63541.21,534,832
63541.21,532,836
63541.21,532,832
63541.22,531,832
63541.22,530,836
63541.22,529,832
63541.22,528,832
63541.22,531,836
63541.22,533,832
63541.22,534,832
63541.22,535,836
63541.22,536,832
63541.22,537,832
63541.22,536,836
63541.22,537,832
