timestamp,data1,data2
66546.955759,533,736
66546.955759,534,836
66546.955759,535,832
66546.955759,535,832
66546.955759,535,836
66546.955759,536,832
66546.955759,535,832
66546.955759,536,836
66546.955759,536,832
66546.955759,536,836
66546.955759,536,832
66546.955759,536,832
66546.955759,536,836
66546.955759,536,832
66546.974886,536,832
66546.974886,536,836
66546.974886,536,832
66546.974886,537,832
66546.974886,537,836
66546.974886,537,832
66546.974886,537,832
66546.974886,537,836
66546.974886,536,832
66546.974886,536,832
66546.974886,537,836
66546.974886,537,832
66546.974886,537,832
66546.974886,537,836
66546.974886,538,832
66546.974886,538,832
66546.980376,538,836
66546.980376,538,832
66546.980376,538,832
66546.980376,538,836
66546.980376,538,832
66546.980376,538,832
66546.980376,538,836
66546.980376,538,832
66546.980376,537,836
66546.980376,538,832
66546.980376,537,832
66546.980376,536,836
66546.980376,535,832
66546.980376,535,832
66546.980376,535,836
66546.980376,535,832
66546.995783,535,832
66546.995783,535,836
66546.995783,534,832
66546.995783,534,832
66546.995783,534,836
66546.995783,535,832
66546.995783,535,832
66546.995783,535,836
66546.995783,535,832
66546.995783,535,832
66546.995783,534,836
66546.995783,534,832
66546.995783,534,832
66546.995783,534,836
66546.995783,534,832
66546.995783,534,832
66547.008543,534,836
66547.008543,533,832
66547.008543,533,832
66547.008543,533,836
66547.008543,534,832
66547.008543,534,832
66547.008543,534,836
66547.008543,534,832
66547.008543,534,836
66547.008543,535,832
66547.008543,535,832
66547.008543,535,836
66547.008543,535,832
66547.008543,535,832
66547.008543,535,836
66547.008543,535,832
66547.021268,535,832
66547.021268,535,836
66547.021268,535,832
66547.021268,535,832
66547.021268,535,836
66547.021268,535,832
66547.021268,535,832
66547.021268,535,836
66547.021268,534,832
66547.021268,534,832
66547.021268,534,836
66547.021268,534,832
66547.021268,534,832
66547.021268,534,836
66547.021268,534,832
66547.021268,534,832
66547.032576,534,836
66547.032576,534,832
66547.032576,534,832
66547.032576,533,836
66547.032576,533,832
66547.032576,533,832
66547.032576,532,836
66547.032576,532,832
66547.032576,532,836
66547.032576,532,832
66547.032576,532,832
66547.032576,532,836
66547.032576,532,832
66547.032576,532,832
66547.032576,532,836
66547.032576,533,832
66547.049107,533,832
66547.049107,533,836
66547.049107,533,832
66547.049107,533,832
66547.049107,532,836
66547.049107,532,832
66547.049107,532,832
66547.049107,532,836
66547.049107,532,832
66547.049107,532,832
66547.049107,532,836
66547.049107,531,832
66547.049107,532,832
66547.049107,531,836
66547.049107,531,832
66547.049107,531,832
66547.061772,531,836
66547.061772,531,832
66547.061772,532,832
66547.061772,532,836
66547.061772,533,832
66547.061772,534,832
66547.061772,534,836
66547.061772,534,832
66547.061772,534,832
66547.061772,534,836
66547.061772,534,832
66547.061772,535,836
66547.061772,534,832
66547.061772,535,832
66547.061772,534,836
66547.061772,533,832
66547.074511,533,832
66547.074511,533,836
66547.074511,533,832
66547.074511,533,832
66547.074511,532,836
66547.074511,532,832
66547.074511,532,832
66547.074511,532,836
66547.074511,532,832
66547.074511,533,832
66547.074511,532,836
66547.074511,532,832
66547.074511,531,832
66547.074511,531,836
66547.074511,532,832
66547.074511,532,832
66547.085871,532,836
66547.085871,532,832
66547.085871,533,832
66547.085871,532,836
66547.085871,532,832
66547.085871,532,832
66547.085871,532,836
66547.085871,531,832
66547.085871,531,832
66547.085871,531,836
66547.085871,530,832
66547.085871,530,836
66547.085871,529,832
66547.085871,529,832
66547.085871,529,836
66547.085871,529,832
66547.098528,529,832
66547.098528,528,836
66547.098528,528,832
66547.098528,528,832
66547.098528,528,836
66547.098528,529,832
66547.098528,528,832
66547.098528,529,836
66547.098528,529,832
66547.098528,529,832
66547.098528,528,836
66547.098528,528,832
66547.098528,528,832
66547.098528,527,836
66547.098528,527,832
66547.098528,527,832
66547.114979,528,836
66547.114979,528,832
66547.114979,528,832
66547.114979,528,836
66547.114979,528,832
66547.114979,529,832
66547.114979,529,836
66547.114979,530,832
66547.114979,530,836
66547.114979,530,832
66547.114979,530,832
66547.114979,530,836
66547.114979,531,832
66547.114979,530,832
66547.114979,530,836
66547.114979,530,832
66547.12792099999,531,832
66547.12792099999,532,836
66547.12792099999,532,832
66547.12792099999,532,832
