Matlab Timestamp,Data 1,Data 2
63421.72435,515,736
63421.72435,516,836
63421.72435,515,832
63421.72435,515,832
63421.72435,514,836
63421.72435,514,832
63421.72435,514,832
63421.72435,514,836
63421.72435,513,832
63421.72435,513,836
63421.72435,513,832
63421.72435,513,832
63421.72435,513,836
63421.72435,512,832
63421.77579,512,832
63421.77579,512,836
63421.77579,513,832
63421.77579,514,832
63421.77579,514,836
63421.77579,514,832
63421.77579,514,832
63421.77579,515,836
63421.77579,515,832
63421.77579,515,832
63421.77579,514,836
63421.77579,513,832
63421.77579,511,832
63421.77579,509,836
63421.77579,508,832
63421.77579,508,832
63421.78108,508,836
63421.78108,509,832
63421.78108,512,832
63421.78108,512,836
63421.78108,511,832
63421.78108,511,832
63421.78108,511,836
63421.78108,511,832
63421.78108,512,832
63421.78108,511,836
63421.78108,511,832
63421.78108,511,836
63421.78108,510,832
63421.78108,509,832
63421.78108,509,836
63421.78108,509,832
63421.78273,508,832
63421.78273,507,836
63421.78273,506,832
63421.78273,506,832
63421.78273,504,836
63421.78273,505,832
63421.78273,505,832
63421.78273,506,836
63421.78273,507,832
63421.78273,508,832
63421.78273,509,836
63421.78273,510,832
63421.78273,510,832
63421.78273,511,836
63421.78273,512,832
63421.78273,512,832
63421.78387,512,836
63421.78387,512,832
63421.78387,512,832
63421.78387,513,836
63421.78387,513,832
63421.78387,514,832
63421.78387,514,836
63421.78387,514,832
63421.78387,514,832
63421.78387,513,836
63421.78387,513,832
63421.78387,512,836
63421.78387,512,832
63421.78387,512,832
63421.78387,511,836
63421.78387,511,832
63421.78614,510,832
63421.78614,511,836
63421.78614,511,832
63421.78614,512,832
63421.78614,513,836
63421.78614,513,832
63421.78614,512,832
63421.78614,512,836
63421.78614,512,832
63421.78614,512,832
63421.78614,512,836
63421.78614,511,832
63421.78614,511,832
63421.78614,511,836
63421.78614,510,832
63421.78614,508,832
63421.80406,507,836
63421.80406,506,832
63421.80406,507,832
63421.80406,508,836
63421.80406,510,832
63421.80406,512,832
63421.80406,513,836
63421.80406,514,832
63421.80406,514,836
63421.80406,516,832
