timestamp,data1,data2
66590.318167,510,736
66590.318167,511,836
66590.318167,512,832
66590.318167,512,832
66590.318167,513,836
66590.318167,513,832
66590.318167,514,836
66590.318167,514,832
66590.318167,514,832
66590.318167,515,836
66590.318167,515,832
66590.318167,516,832
66590.318167,517,836
66590.318167,516,832
66590.34456099999,517,832
66590.34456099999,517,836
66590.34456099999,518,832
66590.34456099999,518,832
66590.34456099999,519,836
66590.34456099999,518,832
66590.34456099999,518,832
66590.34456099999,518,836
66590.34456099999,518,832
66590.34456099999,518,832
66590.34456099999,518,836
66590.34456099999,518,832
66590.34456099999,518,832
66590.34456099999,518,836
66590.34456099999,518,832
66590.34456099999,519,832
66590.345647,519,836
66590.345647,519,832
66590.345647,519,832
66590.345647,519,836
66590.345647,520,832
66590.345647,520,832
66590.345647,520,836
66590.345647,520,832
66590.345647,521,832
66590.345647,521,836
66590.345647,520,832
66590.345647,520,836
66590.345647,520,832
66590.345647,519,832
66590.345647,519,836
66590.345647,519,832
66590.358521,519,832
66590.358521,519,836
66590.358521,518,832
66590.358521,519,832
66590.358521,519,836
66590.358521,518,832
66590.358521,518,832
66590.358521,518,836
66590.358521,518,832
66590.358521,518,832
66590.358521,518,836
66590.358521,518,832
66590.358521,518,832
66590.358521,519,836
66590.358521,520,832
66590.358521,521,832
66590.370133,521,836
66590.370133,521,832
66590.370133,520,832
66590.370133,519,836
66590.370133,519,832
66590.370133,518,832
66590.370133,518,836
66590.370133,518,832
66590.370133,517,832
66590.370133,516,836
66590.370133,516,832
66590.370133,516,836
66590.370133,516,832
66590.370133,517,832
66590.370133,516,836
66590.370133,517,832
66590.382839,517,832
66590.382839,518,836
66590.382839,518,832
66590.382839,518,832
66590.382839,518,836
66590.382839,517,832
66590.382839,517,832
66590.382839,517,836
66590.382839,516,832
66590.382839,516,832
66590.382839,516,836
66590.382839,516,832
66590.382839,516,832
66590.382839,516,836
66590.382839,515,832
66590.382839,515,832
66590.395275,516,836
66590.395275,515,832
66590.395275,516,832
66590.395275,515,836
66590.395275,515,832
66590.395275,515,832
66590.395275,515,836
66590.395275,515,832
66590.395275,516,832
66590.395275,516,836
66590.395275,516,832
66590.395275,516,836
66590.395275,516,832
66590.395275,516,832
66590.395275,516,836
66590.395275,516,832
