Horizontal,Vertical
0,0
1.203125,-0.244140625
2.419921875,-0.109375
3.55078125,0.5234375
4.5302734375,1.4365234375
5.3271484375,2.2109375
5.962890625,2.5009765625
6.474609375,2.271484375
6.9189453125,1.8173828125
7.341796875,1.55078125
7.7822265625,1.708984375
8.2470703125,2.1787109375
8.6923828125,2.5478515625
9.02734375,2.3798828125
9.166015625,1.541015625
9.087890625,0.33984375
8.875,-0.6259765625
8.6513671875,-0.876953125
8.494140625,-0.392578125
8.373046875,0.3310546875
8.1787109375,0.591796875
7.7861328125,-0.0400390625
7.16796875,-1.408203125
6.4140625,-2.7841796875
5.7275390625,-3.2607421875
5.306640625,-2.3076171875
5.2509765625,-0.140625
5.517578125,2.3173828125
5.9345703125,3.9072265625
6.2939453125,3.83984375
6.4248046875,2.1083984375
6.248046875,-0.5361328125
5.7705078125,-3.0244140625
5.0380859375,-4.5146484375
4.109375,-4.7890625
3.0810546875,-4.2470703125
2.091796875,-3.576171875
1.32421875,-3.3388671875
0.900390625,-3.6923828125
0.80859375,-4.39453125
0.8720703125,-5.0263671875
0.8212890625,-5.2890625
0.490234375,-5.1318359375
-0.0654296875,-4.7158203125
-0.568359375,-4.2333984375
-0.6484375,-3.759765625
-0.10546875,-3.2216796875
0.966796875,-2.5166015625
2.1845703125,-1.6884765625
3.0732421875,-0.9638671875
3.2919921875,-0.6044921875
2.8095703125,-0.6611328125
1.91015625,-0.8330078125
1.0927734375,-0.6357421875
0.8349609375,0.203125
1.3837890625,1.3916015625
2.638671875,2.08984375
4.1884765625,1.373046875
5.5,-1.15234375
6.115234375,-4.9599609375
5.810546875,-8.7587890625
4.6611328125,-11.17578125
2.9892578125,-11.544921875
1.224609375,-10.318359375
-0.240234375,-8.7919921875
-1.1845703125,-8.310546875
-1.6884765625,-9.48828125
-2.2763671875,-11.9248046875
-3.9970703125,-14.59375
-8.2783203125,-16.5791015625
-16.484375,-17.7158203125
-29.2890625,-18.7099609375
-46.2119140625,-20.716796875
-65.5302734375,-24.646484375
-84.6826171875,-30.6171875
-101.0244140625,-37.87109375
-112.63671875,-45.1611328125
-118.8486328125,-51.2978515625
-120.2783203125,-55.568359375
-118.4501953125,-57.87890625
-115.169921875,-58.6630859375
-111.9736328125,-58.677734375
-109.81640625,-58.697265625
-109.0078125,-59.2373046875
-109.31640625,-60.3701171875
-110.20703125,-61.740234375
-111.1162109375,-62.791015625
-111.6962890625,-63.08203125
-111.9375,-62.5517578125
-112.111328125,-61.583984375
-112.572265625,-60.8486328125
-113.5673828125,-60.9775390625
-115.1005859375,-62.244140625
-116.9248046875,-64.41015625
-118.6005859375,-66.7939453125
-119.6591796875,-68.544921875
-119.77734375,-69.0107421875
-118.916015625,-68.06640625
-117.357421875,-66.244140625
-115.634765625,-64.556640625
-114.400390625,-64.0302734375
-114.1787109375,-65.181640625
-115.173828125,-67.734375
-117.099609375,-70.740234375
-119.2568359375,-73.0322265625
-120.7607421875,-73.767578125
-120.88671875,-72.7890625
-119.3544921875,-70.669921875
-116.4267578125,-68.466796875
-112.837890625,-67.248046875
-109.5556640625,-67.6396484375
-107.43359375,-69.560546875
-106.8994140625,-72.2783203125
-107.7724609375,-74.7314453125
-109.3564453125,-76.0224609375
-110.7919921875,-75.8115234375
-111.4462890625,-74.4482421875
-111.1904296875,-72.75390625
-110.3486328125,-71.5888671875
-109.4423828125,-71.443359375
-108.8515625,-72.2177734375
-108.607421875,-73.3212890625
-108.421875,-73.98828125
-107.892578125,-73.6923828125
-106.7568359375,-72.4228515625
-105.078125,-70.7353515625
-103.2685546875,-69.5029296875
-101.943359375,-69.4990234375
-101.6689453125,-70.95703125
-102.69140625,-73.3916015625
-104.7529296875,-75.7802734375
-107.134765625,-77.080078125
-108.9287109375,-76.806640625
-109.400390625,-75.291015625
-108.2890625,-73.45703125
-105.888671875,-72.2314453125
-102.869140625,-71.9921875
-99.96875,-72.4033203125
-97.72265625,-72.728515625
-96.322265625,-72.40234375
-95.66015625,-71.447265625
-95.4541015625,-70.50390625
-95.4072265625,-70.42578125
-95.3349609375,-71.7470703125
-95.2568359375,-74.3203125
-95.3583984375,-77.353515625
-95.8427734375,-79.810546875
-96.78125,-80.8876953125
-98.0439453125,-80.357421875
-99.3916015625,-78.580078125
-100.630859375,-76.3251953125
-101.7548828125,-74.4599609375
-102.9208984375,-73.6796875
-104.2998046875,-74.2880859375
-105.9111328125,-76.0693359375
-107.5322265625,-78.345703125
-108.76953125,-80.23828125
-109.232421875,-81.0419921875
-108.7578125,-80.5859375
-107.4990234375,-79.34765625
-105.9013671875,-78.2548828125
-104.4775390625,-78.2001953125
-103.611328125,-79.5703125
-103.3740234375,-82.0234375
-103.525390625,-84.6552734375
-103.654296875,-86.466796875
-103.38671875,-86.8671875
-102.5576171875,-85.9560546875
-101.27734375,-84.3876953125
-99.8505859375,-82.9677734375
-98.6337890625,-82.2216796875
-97.892578125,-82.1845703125
-97.716796875,-82.5146484375
-98.0048828125,-82.783203125
-98.498046875,-82.751953125
-98.8857421875,-82.482421875
-98.9169921875,-82.2197265625
-98.490234375,-82.166015625
-97.6689453125,-82.3056640625
-96.67578125,-82.43359375
-95.7978515625,-82.326171875
