TargetGA_1,TargetGA_2
-3.80653655850048,-1.03778550106581
0,0
19.4706984905012,-13.1918155165656
0,0
13.9550176573273,11.270787326393
0,0
21.3432806476829,1.55127415213195
0,0
7.54448852432184,10.5275020940028
0,0
-21.5457240643772,-12.3102243303209
0,0
16.5362040066433,13.1720833521141
0,0
20.2575695059025,-7.40018049547156
0,0
8.64263928354488,-8.52565753023051
0,0
12.3627737656465,-9.8811296731319
0,0
11.681911051406,11.1077068571372
0,0
-5.23656146453836,2.71077896317226
0,0
7.53190365214473,6.47244253522999
0,0
-15.622275139842,-8.06884499253874
0,0
9.93860952561881,1.85592336932054
0,0
-21.7090447160123,-10.9795030422098
0,0
-10.741684814957,8.54815272826712
0,0
-21.1034789870061,6.36732344336591
0,0
-18.9114973368831,9.50676112936664
0,0
15.3799702721654,9.75594148068535
0,0
9.40747861904776,-9.89682653984863
0,0
-8.84090670191735,-2.15652040643235
0,0
20.9503746718602,-1.34942615843628
0,0
-21.5990534271287,9.52214240611953
0,0
-2.98195868713886,-9.4691065670617
0,0
-5.75161383092305,-3.30027983761024
0,0
12.7238147420071,4.02795081198547
0,0
14.0922672310648,-0.358649745358757
0,0
-14.9109872898209,2.65607359830449
0,0
-0.498712695933821,11.328283270861
0,0
-2.64939838354877,7.00514658810756
0,0
7.09258506683661,10.09081311453
0,0
10.0954212779167,8.49359428827716
0,0
12.2207388394708,7.00417666645802
0,0
-10.783909276505,2.23837470621564
0,0
8.68871118872575,12.0113850177594
0,0
7.51371112763239,-10.7724479718444
0,0
-16.0090491795402,-11.8673636244691
0,0
-17.9526292883405,0.247300162222677
0,0
-0.0797107926299946,0.290919968483514
0,0
21.3539122270275,4.38422864839816
0,0
-7.7298929841004,-10.7028841994928
0,0
4.14737468248825,3.53489304837756
0,0
-13.2175695271594,10.408403302652
0,0
12.061489698302,-7.54232864718604
0,0
-11.7647059120274,2.98198596438624
0,0
0.290252226346205,6.95780509268037
0,0
9.60881711931638,2.59923669144508
0,0
18.3881316063913,10.7941123578474
0,0
21.334783765248,9.86357905392148
0,0
2.29932069944797,-11.7964004387509
0,0
-17.0829892033306,-12.1612175540701
0,0
-16.6067781993841,-2.03498030033907
0,0
-11.6519688047241,11.7489224407799
0,0
16.1588029216305,7.14207204149906
0,0
-11.8026639591573,3.96852135128383
0,0
14.9636356055322,-8.62863620294817
0,0
-12.3039447331091,12.8953968130919
0,0
20.0544830240226,12.1829876947213
0,0
-7.27020302412906,8.88818444425165
0,0
-14.4677201812374,-4.0297785483814
0,0
-11.9518993477402,-6.24765901897526
0,0
5.63597712752479,-3.99288837290945
0,0
-1.3012652508303,1.32821797398155
0,0
-7.18984654543571,-1.27228389801083
0,0
15.7133088993903,5.4965088931787
0,0
4.14719729171256,-6.59436574759368
0,0
2.42131838948041,8.35990403120461
0,0
19.5338273031484,-5.04279974906245
0,0
-10.3217707379057,8.50409630920575
0,0
12.3376707613851,3.55544588765218
0,0
12.1761639460583,-3.39640993800732
0,0
-5.80527572898524,-7.54167333420438
0,0
3.30092253767981,11.1939568217197
0,0
-19.8341302581168,-11.4675168283127
0,0
-20.7728678777419,-7.42153451098337
0,0
1.50025419447104,0.357535288520814
0,0
13.3550614701454,1.73572544912962
0,0
20.2583172360944,1.44021786179315
0,0
-17.4703125194723,5.22741200286617
0,0
3.34958126018051,-0.230321244098577
0,0
-1.49109076891625,-0.291575095793611
0,0
-22.5423804191887,-8.53424790539743
0,0
-7.88595077577025,-7.92982733415652
0,0
-16.0283795031318,-3.90053927762189
0,0
14.0503031117404,3.28235126413861
0,0
-9.12063599418275,-8.37409194989798
0,0
1.38999166071538,-0.888491166230002
0,0
-15.8722345851563,4.03401875467773
0,0
4.95662297472072,-11.7172923339626
0,0
-11.3964096499682,-10.0714414840979
0,0
7.46490883351229,-1.35743798753269
0,0
9.14103834173238,-3.31160986555764
0,0
11.9162399532019,-2.35490349343815
0,0
-2.40841924699707,7.86147374892187
0,0
-19.4898871824171,5.36437307750658
0,0
-12.9788308454098,0.787032157367995
0,0
19.3667651315524,7.25642178636322
0,0
-16.4686863053561,-9.23923805760244
0,0
15.4867782421049,8.20591527281783
0,0
-6.48004557447931,-5.00949897761452
0,0
-6.34713860665438,5.55476265696048
0,0
8.9421132265493,-0.829052852599259
0,0
4.76117342219602,-8.92552730930383
0,0
13.8244586663932,-2.63711763196668
0,0
-6.42152985211697,4.44902684925406
0,0
-14.0359777991017,5.41860517689006
0,0
-19.3665956164792,1.28306740007075
0,0
13.0209674991376,2.09298873334936
0,0
-14.0521802105746,3.79478599454027
0,0
-5.42762153375714,-1.57825472229962
0,0
2.52125745589845,-6.53699622729701
0,0
