Horizontal,Vertical
0,0
-2.046875,-0.860107421875
-3.6484375,-2.280029296875
-4.6396484375,-4.08984375
-5.00390625,-6.07763671875
-4.8740234375,-8.04052734375
-4.462890625,-9.772705078125
-4.0087890625,-11.060791015625
-3.73828125,-11.728759765625
-3.875,-11.718505859375
-4.5712890625,-11.129638671875
-5.7939453125,-10.187255859375
-7.2275390625,-9.1494140625
-8.34375,-8.18212890625
-8.64453125,-7.29052734375
-7.9296875,-6.351318359375
-6.4619140625,-5.2705078125
-4.87890625,-4.15087890625
-3.9189453125,-3.336669921875
-4.0732421875,-3.241455078125
-5.33203125,-4.072998046875
-7.1826171875,-5.6005859375
-8.875,-7.18408203125
-9.806640625,-8.05712890625
-9.8173828125,-7.739990234375
-9.205078125,-6.3369140625
-8.48828125,-4.51904296875
-8.0478515625,-3.228759765625
-7.9130859375,-3.239013671875
-7.7802734375,-4.817138671875
-7.2890625,-7.61328125
-6.322265625,-10.804443359375
-5.1455078125,-13.37744140625
-4.267578125,-14.463623046875
-4.109375,-13.65380859375
-4.76171875,-11.191162109375
-5.9716796875,-7.916259765625
-7.353515625,-4.94921875
-8.6083984375,-3.213134765625
-9.6279296875,-3.05078125
-10.4375,-4.11474609375
-11.0361328125,-5.59130859375
-11.2509765625,-6.577880859375
-10.6806640625,-6.41015625
-8.8203125,-4.818359375
-5.2958984375,-1.869384765625
-0.0849609375,2.223388671875
6.44140625,7.281005859375
13.6865234375,13.2353515625
21.125,20.10693359375
28.5908203125,27.9150390625
36.3857421875,36.61376953125
45.09765625,46.016357421875
55.2333984375,55.733154296875
66.8447265625,65.14013671875
79.384765625,73.467041015625
91.8583984375,80.01416015625
103.1044921875,84.4150390625
112.123046875,86.8232421875
118.29296875,87.864013671875
121.4970703125,88.359375
122.1552734375,88.921875
121.1328125,89.655517578125
119.5107421875,90.17138671875
118.267578125,89.90966796875
117.970703125,88.57177734375
118.6416015625,86.37451171875
119.865234375,83.972412109375
121.07421875,82.078369140625
121.8779296875,81.059814453125
122.23828125,80.736572265625
122.4052734375,80.5224609375
122.689453125,79.77685546875
123.20703125,78.153564453125
123.74609375,75.733642578125
123.84765625,72.910400390625
123.076171875,70.169921875
121.3125,67.900146484375
118.91796875,66.316162109375
116.6669921875,65.447265625
115.458984375,65.14404296875
115.9296875,65.12548828125
118.1474609375,65.0576171875
121.5009765625,64.70703125
124.890625,64.0771484375
127.1435546875,63.45068359375
127.501953125,63.260498046875
125.94921875,63.8310546875
123.216796875,65.120361328125
120.451171875,66.650390625
118.7119140625,67.715087890625
118.5458984375,67.750732421875
119.8291015625,66.62158203125
121.9296875,64.655517578125
124.1015625,62.436767578125
125.83203125,60.497314453125
127.0400390625,59.1201171875
128.029296875,58.30322265625
129.2607421875,57.857421875
131.056640625,57.548095703125
133.3798828125,57.178955078125
135.82421875,56.578369140625
137.76953125,55.596923828125
138.685546875,54.12060546875
138.3759765625,52.150634765625
137.119140625,49.84423828125
135.580078125,47.466796875
134.55078125,45.2822265625
134.5791015625,43.484619140625
135.6875,42.212158203125
137.35546875,41.5927734375
138.744140625,41.70654296875
139.1064453125,42.49658203125
138.130859375,43.714599609375
136.06640625,44.984619140625
133.568359375,45.958984375
131.3759765625,46.49365234375
129.9697265625,46.7275390625
129.3740234375,46.97607421875
129.19140625,47.4951171875
128.857421875,48.23193359375
127.9580078125,48.8115234375
126.4638671875,48.764892578125
124.74609375,47.865966796875
123.3935546875,46.320068359375
122.9208984375,44.68408203125
123.4970703125,43.584228515625
124.826171875,43.401611328125
126.2802734375,44.13916015625
127.212890625,45.514404296875
127.3154296875,47.190673828125
126.79296875,48.9501953125
126.2275390625,50.7021484375
126.23828125,52.3564453125
127.1064453125,53.7177734375
128.615234375,54.527587890625
130.1455078125,54.614501953125
130.9921875,54.010009765625
130.7021484375,52.93310546875
129.314453125,51.62890625
127.3740234375,50.268310546875
125.69921875,48.970458984375
125.025390625,47.93017578125
125.681640625,47.447509765625
127.4912109375,47.79931640625
129.9169921875,48.9990234375
132.3818359375,50.7041015625
134.5009765625,52.354736328125
136.1396484375,53.441162109375
137.26953125,53.720458984375
137.83203125,53.27197265625
137.697265625,52.420654296875
136.7763671875,51.628662109375
135.193359375,51.3701171875
133.369140625,51.99560546875
131.92578125,53.5771484375
131.4453125,55.79931640625
132.1875,57.9931640625
133.9453125,59.365478515625
136.0771484375,59.3623046875
137.7255859375,57.963623046875
138.1552734375,55.69580078125
137.10546875,53.324462890625
134.970703125,51.451904296875
132.6748046875,50.2744140625
