TargetGA_1,TargetGA_2
7.5737312046983,1.14859864285169
0,0
6.19102547235116,-10.0245156980863
0,0
-9.99984275733252,-0.487060404402719
0,0
-3.31576496459451,-11.7998769785323
0,0
-22.3277634158108,-3.71039628409714
0,0
22.3090955367719,-12.1631780360303
0,0
-15.7550238397085,6.96163928002284
0,0
-18.4584779783719,-4.74118450850698
0,0
-6.17263538858469,5.67273586080094
0,0
-14.35337562818,-4.62555882305788
0,0
-0.50082378710404,-5.2504283124457
0,0
-7.74769141750109,11.4992560822816
0,0
20.9480144437691,6.58694473971843
0,0
19.6106455458527,7.40430611839715
0,0
-20.7653335002609,-4.51897737120269
0,0
11.399142405966,-9.21199482425676
0,0
-11.0731350429223,4.18914966870863
0,0
-3.7422824825684,-7.52525647246509
0,0
2.32365298759405,-4.72000775338487
0,0
20.5703523227759,13.0776033493979
0,0
-3.98843582752728,-2.75458410424269
0,0
22.2670466716264,3.05218742613393
0,0
-9.55313978386064,-11.0836905468593
0,0
9.67370561494829,13.2199660894236
0,0
8.02561123786618,1.01307070816262
0,0
1.89954381067045,2.04031006202137
0,0
9.5323799375839,1.05441423530378
0,0
8.03461414894017,-7.25035288084002
0,0
-15.2606067218126,4.77885622585895
0,0
-17.5007209037467,-7.63712682846623
0,0
22.9305097955167,0.772778785507176
0,0
-15.5770543550703,12.3317814925904
0,0
-21.6129603959816,8.67839790086092
0,0
2.96960501087342,-5.96174504731231
0,0
17.936152165051,0.715349297554017
0,0
8.16063779794604,9.28786824154618
0,0
-14.7031275168949,4.27871757964698
0,0
-6.34027302138337,-2.89505086549844
0,0
-1.90670422576646,8.25946934158025
0,0
22.2081876354171,-6.40627249707706
0,0
-16.2380656833824,6.90467217791482
0,0
16.770599513142,-11.120923839528
0,0
6.99575082048666,6.20666203479588
0,0
-5.98715279644437,-7.1265957941387
0,0
-14.6808411924426,8.34092698686874
0,0
-3.48022303183111,5.71458358857708
0,0
-0.873060111915328,10.8989637679684
0,0
-17.8271456412987,-2.0553578194062
0,0
4.33876335275363,-4.93516561689849
0,0
-13.0667866185222,-1.25694830962122
0,0
-5.58589385670857,2.00312733101774
0,0
4.02373995615205,-3.89128234935357
0,0
-11.8806792367553,-3.97654117961433
0,0
-10.072524732852,-4.81873868852642
0,0
5.66814472809418,-3.65874168355621
0,0
-11.2525714262238,-11.8399819729802
0,0
15.373944462148,7.80472486962944
0,0
22.2508622463844,-5.62854852514216
0,0
11.0435804243463,7.08061594359381
0,0
-7.53856154569188,10.1613512459686
0,0
4.07607285496998,-2.89275593821047
0,0
